cz,czname,pop2000,stateabbrv,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
900,Charlotte,1423942,NC,2003,78.334976,79.167221,84.935356,85.340973,85.927902,86.213852,86.99147,87.274628,73.674759,74.598366,78.17141,78.761169,77.782547,78.216095,85.042923,85.354286,1.3810102,1.3603612,1.6830643,1.6334413,1.9699024,1.9079236,2.2511425,2.1678538,1.0235476,1.0332625,1.3347913,1.3162369,1.5542158,1.5495274,1.854202,1.7931367,52968,55122,55482,60823,47867,51825,54154,60280
900,Charlotte,1423942,NC,2004,83.047401,83.730789,85.625687,86.01078,83.40799,83.768875,85.501968,85.839333,74.442291,75.371223,80.500153,81.037453,83.232391,83.577034,87.246956,87.470322,1.3557315,1.319837,1.4197271,1.3740733,2.0122244,1.9527605,2.4395118,2.3590586,1.0491544,1.0525759,1.330446,1.3008126,1.4193957,1.3827343,1.5436388,1.4832158,54797,56902,57044,61961,49220,53307,54954,61225
900,Charlotte,1423942,NC,2005,80.877876,81.678551,84.050766,84.493011,88.594543,88.790321,83.630508,84.027458,76.520309,77.483047,78.14946,78.73085,81.296227,81.687103,86.733452,86.982521,1.3267708,1.2950627,1.6548908,1.6036044,1.4300122,1.3891892,2.5510969,2.4833505,1.0014979,.98705733,1.4274162,1.4140924,1.6853912,1.6497886,1.6236577,1.5631422,56583,58717,58151,62919,50752,54504,56084,62301
900,Charlotte,1423942,NC,2006,83.112793,83.848427,83.818321,84.285454,86.286636,86.554665,86.84243,87.119942,76.329941,77.252495,79.738396,80.301079,85.196922,85.488228,87.97583,88.174088,1.2339175,1.2012235,1.4744172,1.4313526,1.8330176,1.777069,2.200491,2.1209288,1.067785,1.0601842,1.3743293,1.3481691,1.4076599,1.3684368,1.3326166,1.2790164,59715,60450,59484,64423,53293,56237,57507,63691
900,Charlotte,1423942,NC,2007,83.972481,84.730591,85.916542,86.310837,89.624367,89.785751,90.066322,90.208015,74.292023,75.235046,80.045204,80.619362,83.002235,83.368034,85.22052,85.524406,.9958303,.96243465,1.2564716,1.2136766,1.2606013,1.2235096,1.3765252,1.3216734,.99887699,1.0094261,1.3271437,1.3001798,1.5685289,1.5277659,1.5713087,1.5157559,62250,63322,61511,67644,55502,58488,59021,67172
900,Charlotte,1423942,NC,2008,82.996384,83.758736,82.986877,83.482513,87.142944,87.383888,85.342178,85.66925,75.263138,76.263992,81.0177,81.566727,81.928299,82.323013,86.201164,86.486542,1.1966929,1.1576147,1.6229353,1.5742652,1.7035971,1.6527352,2.3427584,2.2640402,.97598022,.97206986,1.3201566,1.286454,1.6888809,1.6536677,1.7594944,1.6950403,64750,65498,63156,70728,57579,60169,60786,69957
900,Charlotte,1423942,NC,2009,82.336906,83.1577,83.923409,84.411247,88.567909,88.769859,90.788528,90.89373,76.652786,77.62944,81.945839,82.490448,84.885803,85.20623,84.983269,85.310844,1.1927171,1.153773,1.4021583,1.3533355,1.2147695,1.1755748,1.0368575,.99481332,1.0184504,1.0088627,1.1794318,1.1409155,1.2596985,1.2196189,1.6236167,1.5660532,67916,68689,65368,73311,60056,63036,62490,72432
900,Charlotte,1423942,NC,2010,80.780762,81.652733,83.188187,83.695183,86.19751,86.476212,87.439301,87.690994,75.113487,76.07695,81.006004,81.575241,84.375618,84.714417,86.057121,86.354713,1.3091726,1.278321,1.5779514,1.5294659,1.7673929,1.7126122,2.1925402,2.1108239,.94977117,.95537877,1.3022352,1.2659473,1.4276186,1.3850669,1.7134256,1.6510383,69693,70332,66661,72421,62052,64100,63489,71482
900,Charlotte,1423942,NC,2011,82.428307,83.242058,85.363411,85.805344,86.163765,86.445412,88.798958,88.990829,76.720871,77.700584,82.059349,82.603287,81.909576,82.322517,83.167465,83.566818,1.2940692,1.2518277,1.3245921,1.2747854,1.8499734,1.7920396,1.7093632,1.6431408,.98822099,.98267686,1.1868172,1.1479652,1.6066701,1.5705692,1.8571767,1.8110167,71377,72190,67192,71503,63462,64683,63974,70336
900,Charlotte,1423942,NC,2012,83.953529,84.75,86.043388,86.459663,86.735352,86.996506,86.878975,87.145897,74.287582,75.282608,81.455414,82.025124,84.808487,85.139999,83.408218,83.806793,1.0050765,.96097755,1.3085681,1.2599462,1.662353,1.6109982,2.324518,2.2432423,.86690426,.88463569,1.330907,1.29239,1.4499102,1.4027985,2.0728731,2.0198662,71783,73698,67897,73195,64152,65390,64365,72148
